param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win,n_estimators
PremierLeague_12Bet_ori_4_nn,0.61455464,0.6123703,0.0,0.65,0.6,0.0,0.63,0.83,0.0,0.64,0.69,N/A
PremierLeague_12Bet_ori_3_rf,0.9978228853172825,0.8113714944295044,0.67,0.87,0.87,0.73,0.83,0.86,0.7,0.85,0.87,N/A
PremierLeague_12Bet_ori_3_svm,0.6177242748287123,0.6155397618132924,0.43,0.65,0.6,0.0,0.64,0.83,0.0,0.64,0.7,N/A
PremierLeague_12Bet_ori_3_knn,0.9981110328488186,0.8234729158663081,0.71,0.84,0.85,0.7,0.83,0.86,0.71,0.84,0.86,5
PremierLeague_12Bet_ori_3_nn,0.61689186,0.6143873,0.0,0.65,0.6,0.0,0.63,0.84,0.0,0.64,0.7,N/A
PremierLeague_12Bet_alt_4_rf,0.9991646049545352,0.8376867469879518,0.7,0.89,0.89,0.77,0.86,0.88,0.73,0.87,0.88,N/A
PremierLeague_12Bet_alt_4_svm,0.6150756675127719,0.6076144578313253,0.0,0.66,0.58,0.0,0.57,0.86,0.0,0.61,0.7,N/A
PremierLeague_12Bet_alt_4_knn,0.9992609966905504,0.8372048192771084,0.73,0.85,0.87,0.72,0.86,0.87,0.73,0.85,0.87,5
PremierLeague_12Bet_alt_4_nn,0.61456156,0.60934937,0.0,0.61,0.61,0.0,0.65,0.81,0.0,0.63,0.69,N/A
PremierLeague_12Bet_alt_3_rf,0.9979436429650098,0.8116626506024096,0.66,0.87,0.87,0.74,0.83,0.86,0.7,0.85,0.87,N/A
PremierLeague_12Bet_alt_3_svm,0.6124409600616907,0.6049156626506024,0.33,0.67,0.58,0.0,0.56,0.87,0.0,0.61,0.7,N/A
PremierLeague_12Bet_alt_3_knn,0.9981364264370401,0.8138795180722892,0.69,0.83,0.85,0.69,0.84,0.84,0.69,0.83,0.85,5
PremierLeague_12Bet_alt_3_nn,0.61115575,0.60693973,0.0,0.59,0.62,0.0,0.69,0.78,0.0,0.64,0.69,N/A
Serie-A_Bet365_ori_4_rf,0.9990306946688207,0.5271317829457365,0.43,0.64,0.67,0.58,0.48,0.63,0.5,0.55,0.65,N/A
Serie-A_Bet365_ori_4_svm,0.5722132471728595,0.5949612403100775,0.49,0.62,0.64,0.44,0.54,0.74,0.46,0.58,0.69,N/A
Serie-A_Bet365_ori_4_knn,1.0,0.5668604651162791,0.46,0.57,0.63,0.45,0.57,0.64,0.46,0.57,0.64,5
Serie-A_Bet365_ori_4_nn,0.5644588,0.5697674,0.46,0.61,0.59,0.3,0.55,0.77,0.36,0.58,0.67,N/A
Serie-A_Bet365_ori_3_rf,0.9987075928917609,0.5319767441860465,0.44,0.65,0.66,0.57,0.48,0.64,0.49,0.55,0.65,N/A
Serie-A_Bet365_ori_3_svm,0.5747980613893376,0.5872093023255814,0.48,0.62,0.61,0.38,0.52,0.78,0.42,0.57,0.69,N/A
Serie-A_Bet365_ori_3_knn,0.9993537964458804,0.5523255813953488,0.45,0.57,0.6,0.43,0.54,0.64,0.44,0.56,0.62,5
Serie-A_Bet365_ori_3_nn,0.5453958,0.5552326,0.39,0.56,0.56,0.05,0.61,0.86,0.09,0.58,0.68,N/A
Serie-A_Bet365_alt_4_rf,0.9986249570299072,0.5432989690721649,0.42,0.68,0.71,0.57,0.51,0.66,0.48,0.58,0.68,N/A
Serie-A_Bet365_alt_4_svm,0.5771742866964593,0.5567010309278351,0.37,0.59,0.64,0.37,0.52,0.7,0.37,0.55,0.67,N/A
Serie-A_Bet365_alt_4_knn,0.9993124785149536,0.5618556701030928,0.41,0.58,0.65,0.46,0.52,0.65,0.43,0.55,0.65,5
Serie-A_Bet365_alt_4_nn,0.5613613,0.57835054,0.43,0.57,0.63,0.29,0.56,0.77,0.35,0.57,0.69,N/A
Serie-A_Bet365_alt_3_rf,0.9986249570299072,0.5319587628865979,0.42,0.68,0.7,0.61,0.5,0.64,0.5,0.58,0.67,N/A
Serie-A_Bet365_alt_3_svm,0.5812994156067377,0.5731958762886598,0.41,0.59,0.63,0.31,0.52,0.78,0.35,0.55,0.69,N/A
Serie-A_Bet365_alt_3_knn,0.9993124785149536,0.5618556701030928,0.41,0.58,0.65,0.45,0.5,0.67,0.43,0.54,0.66,5
Serie-A_Bet365_alt_3_nn,0.551736,0.557732,0.33,0.54,0.61,0.11,0.61,0.8,0.17,0.57,0.69,N/A
Serie-A_WilliamHill_ori_4_rf,0.9986713906111603,0.7422783128528728,0.65,0.8,0.81,0.74,0.73,0.79,0.69,0.76,0.8,N/A
